trans_id,Card_Type,Amount,Gender,City,Date,Exp_id
124,4,605615,F,"Greater Mumbai, India",23-May-14,3
125,3,500852,F,"Bengaluru, India",22-May-15,3
126,2,488136,F,"Greater Mumbai, India",15-Feb-15,3
127,4,937828,F,"Delhi, India",16-Jun-14,3
128,4,315873,F,"Delhi, India",27-Jan-14,3
129,1,567623,F,"Greater Mumbai, India",20-May-15,3
130,3,555123,F,"Greater Mumbai, India",29-Oct-13,3
131,4,498843,F,"Bengaluru, India",20-Apr-14,3
132,1,752610,F,"Greater Mumbai, India",23-May-14,3
133,3,494540,F,"Greater Mumbai, India",11-Mar-15,3
134,4,996754,F,"Delhi, India",27-Oct-13,3
135,2,245572,F,"Ahmedabad, India",14-Jul-14,3
136,4,974384,F,"Delhi, India",18-Apr-14,3
137,1,846635,F,"Ahmedabad, India",25-Mar-14,3
138,1,635473,F,"Ahmedabad, India",1-Sep-14,3
139,4,224510,F,"Delhi, India",23-Mar-15,3
140,1,478671,F,"Delhi, India",24-Jan-15,3
141,4,990700,F,"Greater Mumbai, India",4-Oct-13,3
142,4,228565,F,"Delhi, India",14-Mar-14,3
143,1,297732,F,"Bengaluru, India",3-Jan-14,3
144,2,559262,F,"Greater Mumbai, India",3-Dec-14,3
145,2,809907,F,"Bengaluru, India",1-Jul-14,3
146,2,428316,F,"Ahmedabad, India",21-Aug-14,3
147,2,275065,F,"Ahmedabad, India",5-Mar-14,3
148,1,845653,F,"Bengaluru, India",20-Apr-14,3
149,2,236296,F,"Ahmedabad, India",20-Nov-13,3
150,2,440572,F,"Bengaluru, India",25-Sep-14,3
151,4,478115,F,"Ahmedabad, India",6-Feb-15,3
152,4,897621,F,"Bengaluru, India",26-Oct-13,3
153,2,554281,F,"Greater Mumbai, India",6-May-15,3
154,1,245452,F,"Delhi, India",30-Sep-14,3
155,3,365045,F,"Delhi, India",17-Jan-14,3
156,4,496047,F,"Greater Mumbai, India",11-Jan-15,3
157,1,466814,F,"Bengaluru, India",11-Feb-15,3
158,4,835177,F,"Bengaluru, India",10-Nov-14,3
159,1,219698,F,"Delhi, India",12-Jan-15,3
160,1,784541,F,"Bengaluru, India",18-Oct-14,3
161,2,576994,F,"Delhi, India",25-Oct-13,3
162,4,464663,F,"Bengaluru, India",15-May-15,3
163,3,380270,F,"Bengaluru, India",3-May-14,3
164,1,772082,F,"Ahmedabad, India",2-Oct-14,3
165,4,230853,F,"Delhi, India",9-Apr-15,3
166,2,677654,F,"Bengaluru, India",6-Oct-13,3
167,2,929247,F,"Greater Mumbai, India",5-Feb-14,3
168,3,851374,F,"Ahmedabad, India",9-Apr-15,3
169,3,637600,F,"Ahmedabad, India",19-Jan-14,3
170,3,681749,F,"Greater Mumbai, India",9-Nov-13,3
171,1,847958,F,"Delhi, India",25-Mar-14,3
172,4,877569,F,"Greater Mumbai, India",18-Feb-14,3
173,3,450413,F,"Ahmedabad, India",14-Oct-13,3
174,2,219041,F,"Bengaluru, India",1-May-15,3
175,4,866572,F,"Bengaluru, India",31-Dec-14,3
176,2,570791,F,"Greater Mumbai, India",26-Mar-14,3
177,1,705464,F,"Ahmedabad, India",28-Apr-14,3
178,2,806821,F,"Greater Mumbai, India",6-Apr-14,3
179,3,515472,F,"Greater Mumbai, India",27-Mar-14,3
180,1,352207,F,"Ahmedabad, India",23-Sep-14,3
181,4,342761,F,"Ahmedabad, India",4-Mar-15,3
182,2,249099,F,"Bengaluru, India",27-Feb-14,3
183,3,995634,F,"Ahmedabad, India",27-Aug-14,3
184,2,435097,F,"Bengaluru, India",12-Dec-14,3
185,3,797815,F,"Ahmedabad, India",16-Jun-14,3
186,4,326922,F,"Delhi, India",2-Jan-14,3
187,4,396241,F,"Bengaluru, India",11-Dec-14,3
188,4,486949,F,"Delhi, India",14-Dec-14,3
189,4,333483,F,"Greater Mumbai, India",17-Jan-14,3
190,3,612572,F,"Ahmedabad, India",5-Oct-13,3
191,1,327244,F,"Bengaluru, India",18-Mar-15,3
192,1,955468,F,"Ahmedabad, India",4-Feb-14,3
193,4,927864,F,"Greater Mumbai, India",25-Feb-15,3
194,2,555220,F,"Delhi, India",28-Mar-14,3
195,1,952640,F,"Delhi, India",28-Dec-14,3
196,1,695749,F,"Ahmedabad, India",31-May-14,3
197,3,365724,F,"Greater Mumbai, India",22-Aug-14,3
198,3,738108,F,"Greater Mumbai, India",3-Mar-15,3
199,3,650785,F,"Ahmedabad, India",17-Jan-15,3
200,2,611486,F,"Delhi, India",23-Oct-14,3
201,3,965721,F,"Bengaluru, India",5-Aug-14,3
202,4,413052,F,"Ahmedabad, India",12-Oct-14,3
203,1,584822,F,"Ahmedabad, India",22-Jan-14,3
204,4,980146,F,"Ahmedabad, India",25-Mar-15,3
205,2,926072,F,"Ahmedabad, India",10-Oct-14,3
206,1,482394,F,"Delhi, India",16-Apr-14,3
207,2,718346,F,"Bengaluru, India",21-Feb-14,3
208,1,491598,F,"Bengaluru, India",24-Apr-14,3
209,3,848852,F,"Delhi, India",7-Sep-14,3
210,4,396139,F,"Bengaluru, India",28-Dec-14,3
211,2,856974,F,"Ahmedabad, India",13-Oct-14,3
212,2,855990,F,"Ahmedabad, India",3-Apr-15,3
213,2,924776,F,"Delhi, India",16-Feb-15,3
214,2,204850,F,"Greater Mumbai, India",3-Apr-14,3
215,3,780669,F,"Delhi, India",3-Nov-13,3
216,2,887442,F,"Greater Mumbai, India",17-Apr-14,3
217,2,297820,F,"Delhi, India",22-Jan-14,3
218,2,687879,F,"Delhi, India",14-Mar-15,3
219,1,738456,F,"Greater Mumbai, India",13-Oct-13,3
220,3,378535,F,"Delhi, India",24-Aug-14,3
221,1,334116,F,"Greater Mumbai, India",9-May-15,3
222,1,772360,F,"Delhi, India",7-Jun-14,3
223,4,580796,F,"Ahmedabad, India",26-Nov-14,3
224,1,855465,F,"Greater Mumbai, India",21-Oct-14,3
225,4,978989,F,"Greater Mumbai, India",15-Jun-14,3
226,4,451874,F,"Ahmedabad, India",25-Apr-15,3
227,1,670750,F,"Ahmedabad, India",7-Sep-14,3
228,2,977951,F,"Bengaluru, India",19-May-15,3
229,3,403466,F,"Delhi, India",23-Feb-14,3
230,2,861177,F,"Delhi, India",28-Oct-13,3
231,4,528612,F,"Ahmedabad, India",17-Dec-14,3
232,2,339670,F,"Ahmedabad, India",4-Dec-14,3
233,2,963751,F,"Delhi, India",18-Nov-13,3
234,4,761930,F,"Ahmedabad, India",30-Nov-14,3
235,2,852806,F,"Ahmedabad, India",21-Aug-14,3
236,2,207755,F,"Delhi, India",25-May-14,3
237,4,489540,F,"Greater Mumbai, India",19-Apr-15,3
238,1,274395,F,"Ahmedabad, India",25-Mar-14,3
239,3,566945,F,"Bengaluru, India",11-Feb-14,3
240,4,705690,F,"Ahmedabad, India",9-Dec-14,3
241,4,894888,F,"Bengaluru, India",25-Mar-14,3
242,3,811899,F,"Greater Mumbai, India",2-Jan-14,3
243,1,677645,F,"Greater Mumbai, India",25-Dec-14,3
244,3,326162,F,"Greater Mumbai, India",16-Oct-14,3
245,3,316946,F,"Delhi, India",19-Apr-15,3
246,3,622373,F,"Delhi, India",20-Jan-14,3
247,2,640653,F,"Bengaluru, India",10-May-14,3
248,2,745493,F,"Ahmedabad, India",9-Jan-15,3
249,4,868021,F,"Delhi, India",31-Oct-13,3
250,3,284923,F,"Delhi, India",28-Nov-14,3
251,3,814422,F,"Bengaluru, India",21-Jul-14,3
252,4,599741,F,"Bengaluru, India",22-Apr-15,3
253,3,804560,F,"Ahmedabad, India",10-Jun-14,3
254,4,996291,F,"Ahmedabad, India",17-Apr-15,3
255,3,477553,F,"Ahmedabad, India",9-Nov-13,3
256,4,216028,F,"Delhi, India",2-Jan-15,3
257,2,275427,F,"Greater Mumbai, India",10-Mar-15,3
258,1,722048,F,"Delhi, India",22-Dec-13,3
259,1,292365,F,"Delhi, India",14-Feb-15,3
260,1,400393,F,"Ahmedabad, India",30-Jan-15,3
261,3,219720,F,"Greater Mumbai, India",1-Apr-14,3
262,2,981404,F,"Delhi, India",15-Feb-15,3
263,2,639670,F,"Bengaluru, India",24-Nov-14,3
264,4,814333,F,"Bengaluru, India",7-Aug-14,3
265,4,569582,F,"Ahmedabad, India",17-Oct-13,3
266,4,954111,F,"Ahmedabad, India",25-May-14,3
267,4,635267,F,"Ahmedabad, India",16-May-14,3
268,4,393651,F,"Delhi, India",11-Oct-13,3
269,3,572306,F,"Ahmedabad, India",2-Jun-14,3
270,1,407647,F,"Ahmedabad, India",6-Aug-14,3
271,4,734396,F,"Greater Mumbai, India",26-Jan-15,3
272,3,224414,F,"Delhi, India",2-Mar-15,3
273,2,203194,F,"Ahmedabad, India",10-Sep-14,3
274,4,250410,F,"Greater Mumbai, India",22-Jan-15,3
275,1,830697,F,"Delhi, India",4-Apr-15,3
276,3,790800,F,"Greater Mumbai, India",16-May-14,3
277,1,638570,F,"Greater Mumbai, India",22-Feb-14,3
278,1,380409,F,"Greater Mumbai, India",13-Aug-14,3
279,4,601631,F,"Greater Mumbai, India",1-Apr-14,3
280,4,690534,F,"Ahmedabad, India",8-Jan-14,3
281,1,423661,F,"Ahmedabad, India",5-Mar-15,3
282,1,936294,F,"Greater Mumbai, India",8-Dec-14,3
283,3,537050,F,"Bengaluru, India",29-Nov-14,3
284,1,899343,F,"Delhi, India",8-Mar-15,3
285,3,834691,F,"Greater Mumbai, India",25-Nov-13,3
286,1,240216,F,"Ahmedabad, India",13-Apr-15,3
287,2,424370,F,"Greater Mumbai, India",15-Apr-14,3
288,1,593991,F,"Delhi, India",13-Feb-15,3
289,2,768467,F,"Greater Mumbai, India",2-Oct-14,3
290,4,781959,F,"Delhi, India",7-Feb-15,3
291,3,553907,F,"Bengaluru, India",27-Dec-14,3
292,3,308622,F,"Bengaluru, India",4-Aug-14,3
293,2,912334,F,"Greater Mumbai, India",5-May-15,3
294,1,586474,F,"Delhi, India",28-Jan-15,3
295,4,521237,F,"Delhi, India",6-Apr-14,3
296,2,446266,F,"Delhi, India",30-Oct-13,3
297,3,511168,F,"Greater Mumbai, India",30-Sep-14,3
298,2,608438,F,"Bengaluru, India",28-Dec-13,3
299,4,973519,F,"Delhi, India",18-Oct-14,3
300,3,688577,F,"Delhi, India",28-Nov-14,3
301,1,686619,F,"Bengaluru, India",12-May-14,3
302,2,255982,F,"Greater Mumbai, India",6-Nov-14,3
303,2,464656,F,"Greater Mumbai, India",2-Mar-14,3
304,2,212319,F,"Delhi, India",19-Apr-15,3
305,3,307563,F,"Greater Mumbai, India",18-Apr-15,3
306,1,407564,F,"Delhi, India",15-Apr-15,3
307,2,331349,F,"Bengaluru, India",12-Oct-14,3
308,1,391325,F,"Delhi, India",14-Apr-15,3
309,1,530244,F,"Ahmedabad, India",7-Oct-14,3
310,2,668736,F,"Greater Mumbai, India",16-Apr-14,3
311,4,517448,F,"Bengaluru, India",3-Dec-14,3
312,3,788531,F,"Ahmedabad, India",3-Aug-14,3
313,4,474729,F,"Ahmedabad, India",17-Mar-14,3
314,3,590841,F,"Bengaluru, India",16-Jan-15,3
315,3,608427,F,"Greater Mumbai, India",5-Jan-14,3
316,1,719835,F,"Delhi, India",2-May-15,3
317,2,375139,F,"Delhi, India",30-Dec-13,3
318,3,229589,F,"Bengaluru, India",19-May-14,3
319,2,376453,F,"Bengaluru, India",5-Jul-14,3
320,2,360009,F,"Delhi, India",10-Oct-13,3
321,2,770346,F,"Ahmedabad, India",3-Aug-14,3
322,2,489043,F,"Greater Mumbai, India",23-May-15,3
323,3,503037,F,"Bengaluru, India",11-Nov-14,3
324,3,731261,F,"Greater Mumbai, India",11-Jan-14,3
325,2,262755,F,"Ahmedabad, India",14-Feb-14,3
326,4,825475,F,"Greater Mumbai, India",16-Jul-14,3
327,3,922630,F,"Greater Mumbai, India",24-Feb-14,3
328,4,752172,F,"Delhi, India",25-Sep-14,3
329,4,418009,F,"Ahmedabad, India",11-Jun-14,3
330,2,994537,F,"Delhi, India",7-Jun-14,3
331,1,922206,F,"Greater Mumbai, India",2-Aug-14,3
332,2,389097,F,"Greater Mumbai, India",21-May-14,3
333,2,880778,F,"Bengaluru, India",4-Apr-15,3
334,4,327971,F,"Greater Mumbai, India",3-Mar-15,3
335,2,689201,F,"Bengaluru, India",2-Mar-14,3
336,1,792440,F,"Bengaluru, India",17-May-15,3
337,2,602222,F,"Bengaluru, India",17-Mar-15,3
338,3,502399,F,"Ahmedabad, India",3-Sep-14,3
339,1,272804,F,"Ahmedabad, India",17-Mar-14,3
340,3,613280,F,"Bengaluru, India",6-Jun-14,3
341,2,876491,F,"Delhi, India",17-Oct-14,3
342,1,820217,F,"Bengaluru, India",25-Feb-14,3
343,2,994184,F,"Greater Mumbai, India",6-Sep-14,3
344,3,515263,F,"Ahmedabad, India",7-Dec-13,3
345,2,338527,F,"Ahmedabad, India",28-Aug-14,3
346,1,934683,F,"Ahmedabad, India",16-Jun-14,3
347,2,454570,F,"Ahmedabad, India",7-Jul-14,3
348,4,654519,F,"Greater Mumbai, India",28-Jan-15,3
349,4,958047,F,"Ahmedabad, India",12-Jun-14,3
350,1,465281,F,"Bengaluru, India",3-Nov-13,3
351,2,653161,F,"Ahmedabad, India",31-Dec-13,3
352,4,307350,F,"Ahmedabad, India",14-Apr-14,3
353,1,41002,F,"Greater Mumbai, India",27-Aug-14,3
354,1,34743,F,"Bengaluru, India",3-Jan-14,3
355,2,195589,F,"Bengaluru, India",26-Sep-14,3
356,2,204735,F,"Bengaluru, India",10-Mar-14,3
357,2,118112,F,"Ahmedabad, India",14-May-14,3
358,3,61572,F,"Greater Mumbai, India",12-Dec-13,3
359,4,274938,F,"Delhi, India",25-Feb-15,3
360,2,43854,F,"Greater Mumbai, India",21-Feb-14,3
361,4,8798,F,"Delhi, India",27-Apr-14,3
362,4,192241,F,"Greater Mumbai, India",8-May-15,3
363,1,128164,F,"Bengaluru, India",10-Apr-14,3
364,2,249061,F,"Delhi, India",28-Apr-14,3
365,4,275283,F,"Greater Mumbai, India",29-Jan-14,3
366,3,172194,F,"Greater Mumbai, India",3-Jan-14,3
367,4,13162,F,"Ahmedabad, India",13-May-15,3
368,3,3427,F,"Bengaluru, India",5-Feb-15,3
369,4,171374,F,"Bengaluru, India",7-Jan-15,3
370,2,286251,F,"Delhi, India",19-Feb-15,3
371,3,123417,F,"Ahmedabad, India",19-Oct-14,3
372,1,81088,F,"Delhi, India",3-Dec-13,3
373,2,64113,F,"Ahmedabad, India",26-Oct-14,3
374,3,54374,F,"Bengaluru, India",27-Mar-14,3
375,2,175515,F,"Ahmedabad, India",18-Mar-15,3
376,4,78773,F,"Delhi, India",25-Nov-13,3
377,2,143515,F,"Bengaluru, India",25-Jun-14,3
378,1,263613,F,"Delhi, India",22-Nov-14,3
379,3,265434,F,"Greater Mumbai, India",22-Apr-15,3
380,2,87839,F,"Delhi, India",3-Jun-14,3
381,2,60905,F,"Delhi, India",16-Jun-14,3
382,3,199726,F,"Delhi, India",9-Apr-15,3
383,1,267896,F,"Delhi, India",20-Jan-15,3
384,4,198937,F,"Ahmedabad, India",31-Dec-13,3
385,4,90745,F,"Greater Mumbai, India",2-Oct-14,3
386,1,86676,F,"Greater Mumbai, India",24-Jul-14,3
387,3,163574,F,"Greater Mumbai, India",8-May-15,3
388,2,2138,F,"Greater Mumbai, India",27-Apr-15,3
389,1,253749,F,"Bengaluru, India",11-Jun-14,3
390,3,60187,F,"Delhi, India",6-Jun-14,3
391,3,15566,F,"Bengaluru, India",3-Mar-15,3
392,2,242144,F,"Greater Mumbai, India",11-Jul-14,3
393,3,114049,F,"Delhi, India",17-Mar-14,3
394,4,100992,F,"Bengaluru, India",17-Mar-14,3
395,1,173017,F,"Delhi, India",3-Mar-14,3
396,4,279567,F,"Greater Mumbai, India",7-Jun-14,3
397,2,25016,F,"Delhi, India",28-Dec-13,3
398,1,157982,F,"Delhi, India",11-Nov-13,3
399,2,240387,F,"Bengaluru, India",17-May-14,3
400,3,134030,F,"Delhi, India",31-Aug-14,3
401,4,108651,F,"Bengaluru, India",26-Jan-15,3
402,4,138617,F,"Delhi, India",17-Jan-14,3
403,2,98963,F,"Bengaluru, India",27-Jan-14,3
404,1,25486,F,"Delhi, India",24-Dec-13,3
405,4,231140,F,"Delhi, India",3-Mar-15,3
406,4,20032,F,"Ahmedabad, India",22-Oct-13,3
407,4,293938,F,"Greater Mumbai, India",14-Jan-15,3
408,1,88175,F,"Delhi, India",11-Jan-14,3
409,3,105297,F,"Ahmedabad, India",7-Feb-15,3
410,3,129169,F,"Delhi, India",8-Oct-13,3
411,2,172386,F,"Greater Mumbai, India",14-Aug-14,3
412,3,46369,F,"Greater Mumbai, India",9-May-15,3
413,1,158636,F,"Greater Mumbai, India",2-Apr-14,3
414,2,87219,F,"Delhi, India",26-Nov-14,3
415,4,183445,F,"Delhi, India",16-Nov-14,3
416,1,147977,F,"Bengaluru, India",27-Jun-14,3
417,3,243279,F,"Ahmedabad, India",19-Nov-14,3
418,3,243950,F,"Bengaluru, India",4-Apr-14,3
419,1,32548,F,"Delhi, India",14-Apr-15,3
420,3,118126,F,"Delhi, India",9-Dec-13,3
421,3,13325,F,"Greater Mumbai, India",30-Nov-13,3
422,4,295055,F,"Greater Mumbai, India",16-Feb-14,3
423,3,64764,F,"Greater Mumbai, India",12-Jan-15,3
424,3,174520,F,"Bengaluru, India",3-Feb-14,3
425,2,72763,F,"Delhi, India",5-Nov-13,3
426,2,269809,F,"Greater Mumbai, India",27-Sep-14,3
427,1,81145,F,"Delhi, India",29-Jun-14,3
428,1,25948,F,"Ahmedabad, India",13-Jul-14,3
429,1,120188,F,"Greater Mumbai, India",23-Jan-15,3
430,2,8259,F,"Greater Mumbai, India",5-Dec-14,3
431,2,285830,F,"Delhi, India",15-Apr-14,3
432,4,67039,F,"Bengaluru, India",27-Apr-15,3
433,4,14370,F,"Ahmedabad, India",25-Jul-14,3
434,3,54304,F,"Ahmedabad, India",10-Oct-14,3
435,4,188856,F,"Greater Mumbai, India",18-Oct-13,3
436,4,44635,F,"Ahmedabad, India",18-Jan-14,3
437,3,227273,F,"Greater Mumbai, India",22-Nov-13,3
438,4,234200,F,"Delhi, India",26-Mar-14,3
439,2,79053,F,"Delhi, India",12-Dec-14,3
440,1,49711,F,"Greater Mumbai, India",1-Mar-15,3
441,2,203463,F,"Greater Mumbai, India",29-Oct-14,3
442,2,196985,F,"Bengaluru, India",29-Jul-14,3
443,4,246457,F,"Greater Mumbai, India",18-Apr-15,3
444,3,88344,F,"Delhi, India",5-Nov-13,3
445,2,167457,F,"Bengaluru, India",27-Aug-14,3
446,4,254598,F,"Bengaluru, India",4-Mar-14,3
447,3,102486,F,"Delhi, India",27-Jan-14,3
448,1,159428,F,"Greater Mumbai, India",18-Jan-14,3
449,3,296987,F,"Bengaluru, India",28-Jan-14,3
450,2,89418,F,"Ahmedabad, India",6-Feb-15,3
451,2,77247,F,"Delhi, India",26-Feb-15,3
452,4,66542,F,"Bengaluru, India",24-Jan-14,3
453,1,194526,F,"Greater Mumbai, India",27-Nov-14,3
454,2,178119,F,"Bengaluru, India",16-Jul-14,3
455,4,258653,F,"Bengaluru, India",16-May-14,3
456,1,97425,F,"Delhi, India",2-Nov-14,3
457,4,223185,F,"Delhi, India",23-May-14,3
458,4,224750,F,"Greater Mumbai, India",28-Jan-15,3
459,2,103363,F,"Ahmedabad, India",17-Jan-14,3
460,3,49090,F,"Greater Mumbai, India",27-Nov-14,3
461,3,140584,F,"Bengaluru, India",20-Nov-14,3
462,3,61272,F,"Delhi, India",26-Jun-14,3
463,1,25200,F,"Delhi, India",2-Jan-14,3
464,2,249893,F,"Greater Mumbai, India",9-Dec-13,3
465,4,91325,F,"Bengaluru, India",25-May-14,3
466,1,81641,F,"Greater Mumbai, India",14-Apr-14,3
467,3,267700,F,"Greater Mumbai, India",14-Apr-15,3
468,1,193429,F,"Greater Mumbai, India",20-Nov-14,1
469,4,97674,F,"Ahmedabad, India",22-Apr-14,1
470,1,222579,F,"Bengaluru, India",8-Mar-14,1
471,3,194846,F,"Bengaluru, India",19-Mar-15,1
472,2,62690,F,"Greater Mumbai, India",22-Feb-15,1
473,2,225614,F,"Greater Mumbai, India",8-Feb-15,1
474,2,13879,F,"Ahmedabad, India",20-Oct-13,1
475,4,279579,F,"Ahmedabad, India",4-Feb-15,1
476,4,253183,F,"Bengaluru, India",10-Sep-14,1
477,2,183197,F,"Bengaluru, India",10-May-14,1
478,4,260046,F,"Bengaluru, India",27-Aug-14,1
